Episode,Reward,Length,TD_Error
388,-704.0,200,95.91052262386603
389,-722.0,200,119.99590054115228
390,-902.0,200,155.2116521802568
391,-938.0,200,210.95845654493183
392,-857.0,200,187.10960010297708
393,-749.0,200,106.79206742254547
394,-875.0,200,205.81607825590197
395,-695.0,200,134.90251255138185
396,-758.0,200,190.1724825121653
397,-794.0,200,110.0974873956261
398,-848.0,200,102.91194118699286
399,-866.0,200,150.94677704228076
400,-686.0,200,120.6899726890178
401,-776.0,200,150.64011573676567
402,-438.0,126,42.86797523999999
403,-740.0,200,235.59715265276145
404,-722.0,200,79.73951676544777
405,-566.0,146,61.595453049869775
406,-767.0,200,101.41136430444357
407,-794.0,200,120.33727338399245
408,-821.0,200,154.29917633934014
409,-776.0,200,98.65151195971731
410,-776.0,200,90.10513827802265
411,-767.0,200,135.99604104515123
412,-758.0,200,85.20274888029797
413,-821.0,200,210.59300141022118
414,-956.0,200,415.78458633470564
415,-749.0,200,97.75372135573454
416,-812.0,200,100.94841700569128
417,-785.0,200,221.86910306799228
418,-686.0,200,124.73728454468772
419,-812.0,200,119.36276980173022
420,-794.0,200,112.82951921499739
421,-920.0,200,164.9244111160284
422,-776.0,200,102.06059468696537
423,-812.0,200,151.22454313318366
424,-713.0,200,158.42939012350178
425,-794.0,200,143.48773390889602
426,-653.0,170,79.23690177909128
427,-713.0,200,131.8532834672568
428,-776.0,200,135.71704144347655
429,-776.0,200,133.7390267174419
430,-695.0,200,166.5626350910754
431,-682.0,199,131.74166717313676
432,-372.0,96,63.35547935936698
433,-803.0,200,125.37769030351308
434,-587.0,200,169.3790380282055
435,-794.0,200,228.09328353698544
436,-677.0,200,101.16782470413114
437,-722.0,200,116.88804519045857
438,-776.0,200,117.29452017335342
439,-740.0,200,119.42810202978558
440,-767.0,200,137.75707432009216
441,-767.0,200,212.08652755174387
442,-785.0,200,131.1138699948512
443,-758.0,200,136.977746962955
444,-803.0,200,165.43671651927156
445,-776.0,200,117.59804682679555
446,-776.0,200,119.85352056139112
447,-821.0,200,223.0208463529944
448,-749.0,200,99.79002282617864
449,-893.0,200,171.23994119915352
450,-803.0,200,142.32258018165436
451,-749.0,200,71.24281297494014
452,-803.0,200,90.92418876244386
